,Feature Importance
TotalHospDays,0.48533619505374587
MAP,0.16646300617606566
ACE,0.08723450245162169
POT,0.07000509760787164
MLHFS,0.06854139478341705
TOTP,0.039982480290326625
DEPR,0.03807855265745392
HTRANS,0.03702081508363575
SOD,0.0073379558958619265
ALT,0.0
AST,0.0
CRT,0.0
DIAL,0.0
HEC,0.0
HEM,0.0
ALB,0.0
VO2,0.0
PLA,0.0
SixFtWlk,0.0
BUN,0.0
WBC,0.0
TALB,0.0
PACE,0.0
BET,0.0
NIT,0.0
DIUR,0.0
EjF,0.0
BPDIAS,0.0
BPSYS,0.0
HR,0.0
PV,0.0
PP,0.0
PPP,0.0
PTCI,0.0
Age,0.0
ICD,0.0
GOUT,0.0
Race,0.0
Wt,0.0
BMI,0.0
InitialHospDays,0.0
NYHA,0.0
AF,0.0
AlchE,0.0
ANGP,0.0
ARRH,0.0
CARREST,0.0
CVD,0.0
COPD,0.0
DIAB,0.0
HEPT,0.0
Gender,0.0
HTN,0.0
MALIG,0.0
RENAL,0.0
SMOKING,0.0
STERD,0.0
StrokeTIA,0.0
VAHD,0.0
VF,0.0
VHD,0.0
VT,0.0
ISCH,0.0
NonISCH,0.0
CABG,0.0
PPRatio,0.0
