,Age,Gender,Race,Wt,BMI,InitialHospDays,TotalHospDays,NYHA,MLHFS,AF,AlchE,ANGP,ARRH,CARREST,CVD,COPD,DEPR,DIAB,GOUT,HEPT,HTN,MALIG,RENAL,SMOKING,STERD,StrokeTIA,VAHD,VF,VHD,VT,ISCH,NonISCH,CABG,HTRANS,ICD,PACE,PTCI,SixFtWlk,VO2,ALB,ALT,AST,BUN,CRT,DIAL,HEC,HEM,PLA,POT,SOD,TALB,TOTP,WBC,ACE,BET,NIT,DIUR,EjF,BPDIAS,BPSYS,HR,PV,MAP,PP,PPP,PPRatio,cluster,Death,Rehosp,Readmission
count,198.0,198.0,198.0,190.0,184.0,196.0,198.0,189.0,190.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,190.0,196.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,167.0,60.0,108.0,119.0,115.0,189.0,194.0,72.0,176.0,176.0,172.0,193.0,193.0,123.0,103.0,176.0,198.0,198.0,198.0,198.0,194.0,195.0,195.0,193.0,158.0,195.0,195.0,195.0,193.0,198.0,198.0,198.0,198.0
mean,63.56565656565657,1.1313131313131313,4.181818181818182,83.90477990505264,27.414917397717385,9.581632653061224,19.383838383838384,3.433862433862434,72.97894736842105,0.7070707070707071,0.06060606060606061,0.696969696969697,0.9797979797979798,0.18181818181818182,0.20202020202020202,0.25252525252525254,0.25252525252525254,0.41414141414141414,0.32323232323232326,0.12121212121212122,0.494949494949495,0.06060606060606061,0.10526315789473684,2.326530612244898,0.04040404040404041,0.20202020202020202,0.3939393939393939,0.1111111111111111,0.23232323232323232,0.37373737373737376,1.0,0.13131313131313133,0.6464646464646465,1.0,0.5151515151515151,0.4444444444444444,0.46464646464646464,498.1779080239521,9.671833333333334,3.757407407407407,37.38655462184874,38.417391304347824,43.05132275132275,1.748453608247423,0.49583333333333335,36.88068181818182,12.194318181818181,211.5511627906977,4.218134715025907,136.279792746114,0.8284552845528456,7.107766990291261,7.589318181818182,0.8737373737373737,0.5909090909090909,0.5606060606060606,0.9696969696969697,20.88659793814433,62.676923076923075,101.41538461538461,78.76165803108809,2.554702042985096,143.2,38.738461538461536,0.37787905113374204,0.5124581133295836,0.0,0.3333333333333333,0.6868686868686869,0.2222222222222222
std,9.974751492304497,0.3385986242656815,16.641556226259276,17.464709314344656,5.409554787110646,8.008871324030437,18.613191692694084,0.7733021223714943,18.515246940197006,0.45625990572711606,0.23921113237349026,0.4607331490245302,0.14104742189889352,0.3866722891029679,0.40252497428079653,0.43556216882595805,0.43556216882595805,0.4938217481914122,0.46889616198744344,0.32720093557035745,0.5012418562445881,0.23921113237349026,0.3077030180429277,1.0791783218449746,0.1974040623732457,0.40252497428079653,0.48986026844670355,0.31506630963945537,0.4233845458572117,0.4850215042772247,0.0,0.3385986242656815,0.47927888542352726,0.0,0.5010372259620267,0.49816357622227153,0.5000128183764265,433.54969897843733,2.1412134146333126,0.5259977086236477,73.96782503037171,40.95846904020544,24.09260637107701,0.6336633195158661,0.4566989639379225,5.44430203748145,1.6837955732414587,81.56802670836257,0.6019349377277748,4.165140048484417,0.5201702629835124,0.8949410453130144,2.41036585033632,0.3329870528681848,0.492912386875406,0.49757139769147307,0.17185435071243021,7.1372572614238186,10.732609081683629,13.5622569522911,13.002611169938707,18.597576783028163,18.105374392745627,12.653523517769672,0.09725371393179207,0.20420382193421385,0.0,0.4725994644591831,0.4649428685270977,0.4167935509004357
min,44.0,1.0,1.0,52.0,18.1850757,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.02,2.4,5.0,12.0,9.0,0.8,0.0,1.5,6.2,9.7,2.1,121.0,0.1,2.2,2.6,0.0,0.0,0.0,0.0,9.0,30.0,61.0,57.0,-42.76306763616408,85.66666666666667,7.0,0.09333333333333334,0.07777777777777778,0.0,0.0,0.0,0.0
25%,56.0,1.0,1.0,70.8272727275,23.0448804125,5.0,7.0,3.0,65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,85.3008,7.9,3.4,17.0,23.0,25.0,1.3,0.2,33.349999999999994,11.0,161.0,3.9,135.0,0.4,6.6,5.8,1.0,0.0,0.0,1.0,15.0,56.5,90.0,69.0,-9.440916691528273,130.0,29.5,0.3101010101010101,0.35,0.0,0.0,0.0,0.0
50%,63.0,1.0,1.0,82.35,26.795085095,8.0,13.0,4.0,74.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,412.0,9.9,3.8,26.0,29.0,38.0,1.6,0.3,37.1,12.2,204.0,4.2,137.0,0.8,7.1,7.3100000000000005,1.0,1.0,1.0,1.0,20.0,62.0,100.0,80.0,2.710413694721825,141.66666666666666,38.0,0.37894736842105264,0.5,0.0,0.0,1.0,0.0
75%,70.75,1.0,1.0,96.81818182,31.387590199999998,12.0,25.0,4.0,87.0,1.0,0.0,1.0,1.0,0.0,0.0,0.75,0.75,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,854.0,11.192499999999999,4.1,34.0,37.5,56.0,2.1,0.6,40.150000000000006,13.224999999999998,241.75,4.5,139.0,1.2,7.6,9.0175,1.0,1.0,1.0,1.0,25.0,70.0,111.5,87.0,12.430590351151086,156.16666666666669,47.0,0.44817489752098383,0.6571428571428571,0.0,1.0,1.0,0.0
max,88.0,2.0,98.0,129.7,44.22145329,51.0,93.0,4.0,103.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1837.2479999999998,14.59,5.2,790.0,409.0,120.0,5.4,2.0,51.0,17.0,649.0,8.0,145.0,2.2,9.8,16.7,1.0,1.0,1.0,1.0,40.0,96.0,136.0,131.0,52.40303337680525,189.3333333333333,97.0,0.7637795275590551,1.2763157894736843,0.0,1.0,1.0,1.0
count,260.0,260.0,260.0,245.0,244.0,252.0,260.0,248.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,254.0,256.0,256.0,260.0,260.0,256.0,260.0,260.0,260.0,260.0,256.0,260.0,256.0,256.0,256.0,217.0,61.0,145.0,142.0,151.0,251.0,251.0,107.0,223.0,223.0,217.0,252.0,250.0,151.0,122.0,225.0,260.0,260.0,260.0,260.0,249.0,247.0,247.0,247.0,188.0,247.0,247.0,247.0,246.0,260.0,260.0,260.0,260.0
mean,47.488461538461536,1.4230769230769231,4.1923076923076925,83.2966604824898,29.13989420180328,7.218253968253968,13.76923076923077,3.286290322580645,76.28125,0.0,0.23828125,0.0,0.015625,0.0078125,0.05078125,0.11328125,0.1796875,0.203125,0.08203125,0.10546875,0.46875,0.0234375,0.007874015748031496,1.50390625,0.046875,0.05,0.12307692307692308,0.0078125,0.12307692307692308,0.0,0.057692307692307696,0.8346153846153846,0.0,0.9769230769230769,0.09375,0.1171875,0.00390625,611.7068904700461,11.283606557377048,3.616551724137931,46.2112676056338,44.11920529801324,30.868525896414344,1.3859760956175298,0.3675700934579439,41.30179372197309,12.947533632286996,249.05898617511522,4.281349206349207,135.804,0.8528476821192053,7.107377049180328,8.01991111111111,0.9730769230769231,0.6115384615384616,0.3423076923076923,0.9576923076923077,18.012048192771083,66.39676113360323,106.04453441295547,85.6923076923077,-11.224433838976193,150.30904183535762,39.64777327935223,0.3701353028485666,0.4842495330139337,1.0,0.18846153846153846,0.45384615384615384,0.16153846153846155
