,Age,Gender,Race,Wt,BMI,InitialHospDays,TotalHospDays,NYHA,MLHFS,AF,AlchE,ANGP,ARRH,CARREST,CVD,COPD,DEPR,DIAB,GOUT,HEPT,HTN,MALIG,RENAL,SMOKING,STERD,StrokeTIA,VAHD,VF,VHD,VT,ISCH,NonISCH,CABG,HTRANS,ICD,PACE,PTCI,SixFtWlk,VO2,ALB,ALT,AST,BUN,CRT,DIAL,HEC,HEM,PLA,POT,SOD,TALB,TOTP,WBC,ACE,BET,NIT,DIUR,EjF,BPDIAS,BPSYS,HR,PV,MAP,PP,PPP,PPRatio,cluster,Death
count,2809.0,2809.0,2809.0,2371.0,2701.0,2809.0,2809.0,186.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2779.0,1760.0,2809.0,2777.0,2786.0,2809.0,2809.0,2778.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,2809.0,1349.0,1640.0,1658.0,2809.0,2809.0,1640.0,1640.0,1639.0,1622.0,2809.0,2809.0
mean,78.1189035243859,1.3385546457814168,1.19188323246707,83.98971438437485,12.26782594933284,0.0,6.3791384834460665,0.1935483870967742,0.0,0.8629405482378071,0.048415806336774656,0.36810252758988965,0.9515841936632253,0.003915984336062656,0.0,0.44784620861516555,0.1961552153791385,0.6472054111783553,0.0,0.02847988608045568,0.9597721609113563,0.0088999644001424,0.08187967248131008,0.13670345318618726,0.0,0.29547881808472765,0.5382698469206123,0.1423994304022784,0.3819864720541118,0.14560341758632966,0.6852972588109647,0.08081167675329298,0.4510501957992168,0.0,0.2566749733001068,0.39409042363830543,0.3848344606621574,0.0,0.0,0.0,0.0,0.0,14.193234976610292,1.679465909090909,0.0,14.884443644220381,4.859063173007897,0.0,0.0,59.67494600431966,0.0,0.0,0.0,0.4763260946956212,0.8864364542541829,0.5297258810964756,0.8262726949092204,40.34618235730171,72.6280487804878,133.84800965018093,0.0,0.0,182.3052845528455,61.25853658536585,0.4504312372558863,0.8065260219394847,0.0,0.039159843360626556
std,5.936039855634684,0.473302383972927,0.39385185007535645,19.855749845520194,15.988714293893011,0.0,9.033516601634041,0.7389995357659228,0.0,0.34397133437488164,0.21468144619369028,0.48237526120050234,0.2146814461936903,0.06246629909719352,0.0,0.4973610808214243,0.3971580291472534,0.4779245559963099,0.0,0.16636897464432346,0.19652814020955067,0.09393559670511659,0.2742301288677268,0.34359517957551433,0.0,0.45633893231913664,0.49862202977927955,0.34952156343281415,0.4859597501175467,0.3527709815991125,0.4644800637548118,0.27259420950285806,0.497686743546286,0.0,0.4368762726243332,0.4887414432738034,0.4866427915435793,0.0,0.0,0.0,0.0,0.0,20.560147524787425,1.2162880505531761,0.0,17.437600236409768,5.684415485280188,0.0,0.0,68.63314267730816,0.0,0.0,0.0,0.49952815531745987,0.3173369137797433,0.49920445575909156,0.3789422765710201,16.365569018130593,17.8081620158971,28.635112065232786,0.0,0.0,37.05931388231249,22.672918756944426,0.10952158951957944,0.45293146322455846,0.0,0.19400966400131042
min,62.0,1.0,1.0,32.295776744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.017094017094017096,-0.017699115044247787,0.0,0.0
25%,74.0,1.0,1.0,69.39963261,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0,61.0,114.0,0.0,0.0,157.33333333333334,45.75,0.38077469793887697,0.52,0.0,0.0
50%,78.0,1.0,1.0,81.45,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,40.0,71.0,132.0,0.0,0.0,180.33333333333331,59.0,0.4571428571428571,0.7333333333333333,0.0,0.0
75%,82.0,2.0,1.0,96.0,26.532311129,0.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,1.8,0.0,33.4,10.8,0.0,0.0,138.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,55.0,82.0,150.0,0.0,0.0,202.33333333333331,75.0,0.5264715042042978,0.989327485380117,0.0,0.0
max,93.0,2.0,2.0,213.495,189.44653839,0.0,306.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,136.0,13.56,0.0,51.3,26.3,0.0,0.0,149.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,81.0,175.0,246.0,0.0,0.0,349.66666666666674,158.0,0.8333333333333334,5.111111111111111,0.0,1.0
count,4138.0,4138.0,4138.0,3278.0,3857.0,4138.0,4135.0,425.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4091.0,2405.0,4138.0,4079.0,4091.0,4138.0,4138.0,4087.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,4138.0,2058.0,2498.0,2513.0,4138.0,4138.0,2498.0,2498.0,2492.0,2474.0,4138.0,4138.0
mean,76.72112131464476,1.6507974867085549,1.5096665055582408,84.6227047128355,12.57424445532227,0.0,7.297944377267231,0.0988235294117647,0.0,0.0333494441759304,0.03141614306428226,0.08119864668922185,0.0500241662638956,0.007008216529724505,0.0,0.2689705171580474,0.17013049782503625,0.5652489125181247,0.0,0.0166747220879652,0.9149347510874819,0.026341227646205896,0.10657322377960367,0.10439826002899952,0.0,0.20468825519574674,0.33977767037216045,0.007249879168680522,0.1377477042049299,0.01014983083615273,0.19526341227646207,0.0640405993233446,0.1000483325277912,0.0009666505558240696,0.028999516674722087,0.05896568390526825,0.10439826002899952,0.0,0.0,0.0,0.0,0.0,13.360791982400391,1.909900207900208,0.0,14.599803873498406,4.807316059643119,0.0,0.0,60.21629557132371,0.0,0.0,0.0,0.3385693571773804,0.6210729821169647,0.17568873852102465,0.610923151280812,47.7201166180758,73.57606084867895,140.99602069239953,0.0,0.0,190.08713637576727,67.46036829463571,0.46947712229779476,0.8386914851098852,1.0,0.04615756404059932
