,Age,Gender,Race,Wt,BMI,InitialHospDays,TotalHospDays,NYHA,MLHFS,AF,AlchE,ANGP,ARRH,CARREST,CVD,COPD,DEPR,DIAB,GOUT,HEPT,HTN,MALIG,RENAL,SMOKING,STERD,StrokeTIA,VAHD,VF,VHD,VT,ISCH,NonISCH,CABG,HTRANS,ICD,PACE,PTCI,SixFtWlk,VO2,ALB,ALT,AST,BUN,CRT,DIAL,HEC,HEM,PLA,POT,SOD,TALB,TOTP,WBC,ACE,BET,NIT,DIUR,EjF,BPDIAS,BPSYS,HR,PV,MAP,PP,PPP,PPRatio,cluster,Death
count,4103.0,4103.0,4103.0,3307.0,3628.0,4103.0,4103.0,393.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4089.0,3456.0,4103.0,4081.0,4085.0,4103.0,4103.0,4083.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,4103.0,2358.0,1612.0,1645.0,4103.0,4103.0,1612.0,1612.0,1607.0,1600.0,4103.0,4103.0
mean,70.87106994881793,1.4601511089446746,0.0,89.02713431630957,24.687209400108653,0.0,7.983183036802339,0.22137404580152673,0.0,0.48086765781135754,0.093590056056544,0.25444796490372895,0.5205946868145259,0.014135998050207165,0.0,0.4599073848403607,0.21277114306604925,0.6536680477699245,0.0,0.04167682183767975,0.9573482817450646,0.035096271021203995,0.08700950524006824,0.2973434072629783,0.0,0.25956617109432123,0.4891542773580307,0.07214233487691933,0.24543017304411407,0.07847916158908116,0.4932975871313673,0.09700219351693883,0.28661954667316597,0.00024372410431391665,0.1623202534730685,0.21788934925664147,0.25956617109432123,0.0,0.0,0.0,0.0,0.0,25.161897774516998,1.8421108217592594,0.0,27.79108061749571,9.105317013463893,0.0,0.0,111.37154053392113,0.0,0.0,0.0,0.49354131123568123,0.839385815257129,0.4701437972215452,0.8159883012429929,41.695504664970315,67.33250620347394,124.56048632218845,0.0,0.0,169.4696029776675,57.24875930521092,0.4470356777283659,0.7337134776162786,0.0,0.002924689251767
std,8.444137655886848,0.49847028462040743,0.0,25.10769617374677,16.264046028393746,0.0,36.08045968180965,0.8295260172557899,0.0,0.4996947169285729,0.2912930446360028,0.43560354086862746,0.49963656927456146,0.11806595198576605,0.0,0.49845073600883777,0.40931701330701975,0.475858508700381,0.0,0.199873962886418,0.20209528318943376,0.18404558781504365,0.28188333955866374,0.4571446589270839,0.0,0.4384500280034246,0.4999432842875777,0.25875497431437133,0.43039441271749135,0.26895689850624654,0.5000160123340763,0.2959968270829333,0.452237358316982,0.015611665648287391,0.36878928484040857,0.41286211349525226,0.4384500280034246,0.0,0.0,0.0,0.0,0.0,21.31446606688878,1.5556201853559586,0.0,14.591760831051444,4.824072267344782,0.0,0.0,55.007587942588856,0.0,0.0,0.0,0.5000192206807228,0.36721946385034304,0.4991686445769854,0.38754096288371576,16.236523047572483,15.075184567439216,25.619326641689195,0.0,0.0,32.236555380302434,20.791764823921046,0.22027468647785656,0.4928185154831725,0.0,0.05400783600841409
min,55.0,1.0,0.0,22.452822315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-80.0,-7.272727272727272,-0.6896551724137931,0.0,0.0
25%,64.0,1.0,0.0,71.75,19.453401003000003,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,27.1,8.8,0.0,0.0,133.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,25.0,58.0,108.0,0.0,0.0,148.0,44.0,0.38461538461538464,0.48067496229260936,0.0,0.0
50%,71.0,1.0,0.0,85.28,27.1547079875,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.3,0.0,32.5,10.5,0.0,0.0,137.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,45.0,67.0,124.0,0.0,0.0,169.33333333333334,56.0,0.4558823529411765,0.6705882352941176,0.0,0.0
75%,78.0,2.0,0.0,102.0,33.73179589425,0.0,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,0.0,36.9,12.1,0.0,0.0,140.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,55.0,77.0,140.0,0.0,0.0,190.0,70.0,0.5252481559056552,0.8906960227272727,0.0,0.0
max,85.0,2.0,0.0,220.8,301.6239697,0.0,2194.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,155.0,15.5,0.0,59.0,29.9,0.0,0.0,160.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,95.0,155.0,215.0,0.0,0.0,313.3333333333333,160.0,1.0,12.0,0.0,1.0
count,1994.0,1994.0,1994.0,1696.0,1966.0,1994.0,1994.0,174.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1976.0,470.0,1994.0,1974.0,1977.0,1994.0,1994.0,1972.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1994.0,1137.0,1917.0,1958.0,1994.0,1994.0,1916.0,1916.0,1912.0,1896.0,1994.0,1994.0
mean,70.81845536609829,1.5310932798395185,0.0,83.8830168196848,1.0200748432802647,0.0,8.074724172517552,0.05172413793103448,0.0,0.2136409227683049,0.09729187562688064,0.058676028084252756,0.22216649949849548,0.00802407221664995,0.0,0.3049147442326981,0.1469408224674022,0.3696088264794383,0.0,0.02958876629889669,0.8259779338014042,0.03911735205616851,0.10280842527582748,0.22818455366098295,0.0,0.1424272818455366,0.25526579739217653,0.02156469408224674,0.11634904714142427,0.02657973921765296,0.1444332998996991,0.07823470411233702,0.07271815446339017,0.0005015045135406219,0.03811434302908726,0.07271815446339017,0.058676028084252756,0.0,0.0,0.0,0.0,0.0,1.2348178137651822,2.191021276595744,0.0,1.2181864235055724,0.41274658573596357,0.0,0.0,5.241886409736308,0.0,0.0,0.0,0.2271815446339017,0.37512537612838515,0.10882647943831494,0.4267803410230692,44.819700967458225,76.38914971309337,138.97599591419817,0.0,0.0,189.84864300626305,62.552192066805844,0.4424391307176888,0.7322697068124686,1.0,0.0050150451354062184
