,Age,Gender,Race,EjF,RAP,PAS,PAD,PAMN,PCWP,CO,CI,MIXED,BPSYS,BPDIAS,HRTRT,MAP,MPAP,CPI,PP,PPP,PAPP,SVR,RAT,PPRatio,PAPi,SAPi,CPP,PRAPRat,cluster,Death,Rehosp,Readmission
count,120.0,120.0,120.0,118.0,118.0,120.0,120.0,118.0,113.0,119.0,118.0,71.0,120.0,120.0,120.0,120.0,120.0,118.0,120.0,120.0,120.0,117.0,111.0,120.0,118.0,113.0,114.0,118.0,120.0,120.0,120.0,120.0
mean,55.38333333333333,1.0,2.441666666666667,18.110169491525422,14.59322033898305,62.88333333333333,31.075,42.36440677966102,27.1858407079646,4.404033613445378,2.156271186440678,53.45070422535211,115.55,69.45,86.05833333333334,161.85,83.6,0.7655965400177885,46.1,0.395099926968136,0.5044373802390901,3080.5329144296556,0.5480645008485019,0.5584876999182885,2.7893057922422204,2.0085327534054778,41.73684210526316,4.339104722200552,0.0,0.325,0.5666666666666667,0.175
std,12.14629544335222,0.0,8.849626905047659,6.943956233744227,6.551880121806485,11.466563252741933,8.538752491883521,9.96289290894805,9.11097128326061,1.528561037812422,0.7288895624204108,15.05114018689459,17.121832345200172,12.130141637031851,14.058279556533078,22.8246615032022,15.551462713531016,0.269124906490937,14.0242287344666,0.08789529498036011,0.10695159731406545,1472.8394970415416,0.21645698575958006,0.2209357206011119,1.8991399269682283,1.2483337939905155,15.188521883945667,3.8427025418951115,0.0,0.47033869434159675,0.4976133515281193,0.3815602643018762
min,23.0,1.0,1.0,0.0,2.0,31.0,12.0,16.0,7.0,1.2,0.6,0.0,84.0,39.0,53.0,120.0,43.0,0.24656319290465634,22.0,0.2,0.2307692307692308,1002.1052631578948,0.14814814814814814,0.2352941176470588,0.5151515151515151,0.55,10.0,0.9583333333333334,0.0,0.0,0.0,0.0
25%,46.0,1.0,1.0,15.0,10.0,54.75,25.0,36.0,20.0,3.4,1.6975,44.0,104.0,60.0,76.75,145.91666666666666,72.5,0.5840169992609018,35.0,0.33114035087719296,0.4166666666666667,2186.666666666667,0.4,0.383800521512386,1.5666666666666669,1.1,32.0,2.190625,0.0,0.0,0.0,0.0
50%,56.0,1.0,1.0,17.0,14.0,64.0,30.0,42.0,26.0,4.2,2.1,54.0,113.0,69.0,86.0,160.5,83.33333333333333,0.7083148558758314,44.5,0.39611134278565474,0.5,2720.0,0.5238095238095238,0.5056818181818181,2.324561403508772,1.6666666666666667,38.0,3.03525641025641,0.0,0.0,1.0,0.0
75%,64.0,1.0,2.0,20.0,20.0,70.0,37.0,49.0,33.0,5.295,2.5,63.5,126.0,77.0,97.0,172.83333333333331,94.66666666666669,0.9099223946784925,54.25,0.4507075471698113,0.5861888111888112,3400.0,0.6821052631578948,0.6827205882352942,3.446428571428571,2.6111111111111107,51.0,5.379370629370629,0.0,1.0,1.0,0.0
max,78.0,1.0,98.0,40.0,33.0,90.0,59.0,82.0,53.0,9.5,4.81,96.0,168.0,99.0,120.0,226.0,129.33333333333334,1.8201921655580189,86.0,0.6486486486486487,0.7368421052631579,10755.555555555555,1.3529411764705883,1.1408450704225352,13.0,8.142857142857142,73.0,31.0,0.0,1.0,1.0,1.0
count,97.0,97.0,97.0,90.0,95.0,97.0,97.0,96.0,92.0,93.0,93.0,40.0,96.0,96.0,97.0,96.0,97.0,92.0,96.0,96.0,97.0,91.0,90.0,96.0,95.0,91.0,92.0,94.0,97.0,97.0,97.0,97.0
mean,54.79381443298969,2.0,5.680412371134021,20.566666666666666,10.052631578947368,47.23711340206186,22.278350515463917,31.208333333333332,19.52173913043478,4.053978494623656,2.103010752688172,70.75,107.82291666666667,60.510416666666664,80.0721649484536,148.16319444444443,62.0893470790378,0.6921564799640091,47.3125,0.4374923937278779,0.5286238296905096,3159.9234303629983,0.49492277401194595,0.6207289506878112,4.464747527154648,2.9682907777793606,40.59782608695652,9.143928155872775,1.0,0.25773195876288657,0.5463917525773195,0.14432989690721648
std,13.738584764822257,0.0,19.267062996078185,7.05523950652152,6.913398063785555,13.817842628793013,8.17738531464627,9.36726288918421,8.043123143979658,2.5016421301534275,0.5795927823579101,91.63969300108624,16.672697373829415,14.889766737889882,15.022377351998648,23.62197385138417,18.42838462454535,0.2278302160884741,15.081750910498283,0.11304189839843413,0.09876345737496631,1159.6079447323384,0.2958092220751281,0.24943112527358943,4.902603461458692,1.7220397821159765,11.587279670708915,10.255142207532815,0.0,0.43965778632041186,0.5004293689069466,0.3532495199822607
min,24.0,2.0,1.0,10.0,1.0,20.0,7.0,13.0,8.0,1.7,0.7,0.0,70.0,23.0,48.0,85.33333333333333,26.66666666666667,0.26541019955654105,17.0,0.2,0.26666666666666666,381.86666666666673,0.027027027027027032,0.19090909090909086,0.75,0.7777777777777778,20.0,1.1333333333333333,1.0,0.0,0.0,0.0
25%,48.0,2.0,1.0,15.0,5.0,36.0,15.0,23.0,13.75,2.91,1.7,51.5,96.75,50.75,71.0,132.41666666666666,47.33333333333334,0.5379305247597931,37.75,0.36053083740278524,0.4477611940298508,2381.031845362258,0.3,0.46225961538461546,1.7142857142857142,1.7261904761904763,34.0,2.965151515151515,1.0,0.0,0.0,0.0
50%,56.0,2.0,2.0,20.0,8.0,45.0,20.0,30.0,18.0,3.7,2.09,60.0,107.5,60.0,79.0,148.5,58.66666666666667,0.6588987435328899,46.0,0.44753556910569103,0.5357142857142857,3025.3807106598993,0.430952380952381,0.5933977455716586,2.7777777777777777,2.6666666666666665,39.0,5.888888888888889,1.0,0.0,1.0,0.0
75%,62.0,2.0,2.0,25.0,15.0,56.0,26.0,37.0,25.0,4.7,2.48,67.0,118.0,70.0,88.0,162.91666666666666,75.33333333333333,0.8412416851441243,54.25,0.5012135922330097,0.5952380952380952,3768.042603436227,0.625,0.7608987256874581,5.125,3.9472222222222224,47.25,11.25,1.0,1.0,1.0,0.0
max,88.0,2.0,98.0,45.0,34.0,89.0,55.0,57.0,44.0,25.0,3.98,627.0,154.0,108.0,125.0,222.0,111.66666666666669,1.3119586104951957,106.0,0.7310344827586207,0.8444444444444444,8093.333333333334,1.6666666666666667,1.606060606060606,30.0,9.25,70.0,60.0,1.0,1.0,1.0,1.0
count,13.0,13.0,13.0,12.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,13.0,13.0,13.0,13.0
mean,59.30769230769231,2.0,1.9230769230769231,21.75,11.5,47.25,20.25,28.5,18.666666666666668,3.5866666666666664,2.1,26.0,,,71.0,,60.75,,,,0.5746747785435758,,0.5752314814814815,,2.6246031746031746,,56.5,,2.0,0.38461538461538464,0.5384615384615384,0.15384615384615385
std,14.220786519414784,0.0,1.0377490433255416,5.293649711940456,5.802298395176403,11.026483271348727,5.619905100029122,7.54983443527075,11.930353445448855,0.6312949653952051,0.5567764362830022,,,,2.8284271247461903,,14.680233624137571,,,,0.04055207499071349,,0.2605863644621902,,0.8879487658834623,,13.435028842544403,,0.0,0.5063696835418333,0.5188745216627708,0.3755338080994054
min,38.0,2.0,1.0,10.0,7.0,35.0,13.0,20.0,9.0,3.1,1.6,26.0,,,69.0,,43.66666666666666,,,,0.5365853658536586,,0.28125,,1.6,,47.0,,2.0,0.0,0.0,0.0
25%,52.0,2.0,1.0,19.25,8.5,39.5,17.5,24.5,12.0,3.23,1.8,26.0,,,70.0,,51.16666666666666,,,,0.5479394449116906,,0.4739583333333333,,2.0500000000000003,,51.75,,2.0,0.0,0.0,0.0
50%,57.0,2.0,2.0,25.0,9.5,48.0,21.0,28.0,15.0,3.36,2.0,26.0,,,71.0,,61.99999999999999,,,,0.5667711598746081,,0.6666666666666666,,2.6714285714285717,,56.5,,2.0,0.0,1.0,0.0
75%,69.0,2.0,2.0,25.0,12.5,55.75,23.75,32.0,23.5,3.83,2.35,26.0,,,72.0,,71.58333333333333,,,,0.5935064935064935,,0.7222222222222222,,3.246031746031747,,61.25,,2.0,1.0,1.0,0.0
max,80.0,2.0,4.0,25.0,20.0,58.0,26.0,38.0,32.0,4.3,2.7,26.0,,,73.0,,75.33333333333333,,,,0.6285714285714286,,0.7777777777777778,,3.5555555555555562,,66.0,,2.0,1.0,1.0,1.0
count,26.0,26.0,26.0,25.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,23.0,0.0,26.0,26.0,26.0,26.0
mean,56.88461538461539,1.0,5.269230769230769,18.48,3.0,35.0,10.0,,10.0,,,,,,90.0,,41.66666666666666,,,,0.7142857142857143,,0.3,,8.333333333333334,,40.34782608695652,,3.0,0.38461538461538464,0.4230769230769231,0.23076923076923078
std,14.741307738669382,0.0,18.93897081112422,7.895779463316673,,,,,,,,,,,,,,,,,,,,,,,14.593300753341254,,0.0,0.49613893835683387,0.5038314736557788,0.4296689244236597
min,27.0,1.0,1.0,10.0,3.0,35.0,10.0,,10.0,,,,,,90.0,,41.66666666666666,,,,0.7142857142857143,,0.3,,8.333333333333334,,15.0,,3.0,0.0,0.0,0.0
