,Age,Gender,Race,EjF,RAP,PAS,PAD,PAMN,PCWP,CO,CI,MIXED,BPSYS,BPDIAS,HRTRT,MAP,MPAP,CPI,PP,PPP,PAPP,SVR,RAT,PPRatio,PAPi,SAPi,CPP,PRAPRat,cluster,Death
count,5093.0,5093.0,5093.0,2286.0,12.0,12.0,5093.0,5093.0,8.0,8.0,6.0,5093.0,2498.0,2466.0,4698.0,2466.0,5093.0,6.0,2466.0,2465.0,5093.0,8.0,8.0,2437.0,5093.0,8.0,8.0,11.0,5093.0,5093.0
mean,77.93461613979973,1.0,1.0,43.56124234470691,18.166666666666668,43.166666666666664,0.0,0.0,22.0,3.05,2.5666666666666664,0.0,131.2253803042434,71.24939172749392,84.73627075351213,178.86293592862935,0.0,0.8947031288494703,60.113949716139494,0.44938886317781085,0.0,6727.650029708853,0.2576340326340326,0.7838956630754323,0.0,1.9904079254079257,37.625,10.373636363636365,0.0,0.07225603769880228
std,6.135694363395571,0.0,0.0,15.20622534718251,26.96406137918778,19.441442769755977,0.0,0.0,4.59813626840888,2.114575269747703,0.37237973450050504,0.0,26.87458904987021,16.32011941758689,22.56749741158008,34.31705769075479,0.0,0.25778514445026957,21.809622344907552,0.11475893548986518,0.0,6797.045636244165,0.2129037739716551,0.4232855200620372,0.0,0.906638536794256,20.41664237121975,8.47444792755066,0.0,0.2589368021415791
min,61.0,1.0,1.0,2.0,2.0,23.0,0.0,0.0,15.0,0.6,2.1,0.0,0.0,0.0,16.0,0.0,0.0,0.5401330376940133,-48.0,-1.6,0.0,1836.3636363636365,0.1153846153846154,-0.8571428571428571,0.0,1.04,0.0,0.56,0.0,0.0
25%,73.0,1.0,1.0,30.0,3.0,24.0,0.0,0.0,20.25,1.4249999999999998,2.25,0.0,112.0,61.0,70.0,155.33333333333334,0.0,0.7614745011086476,44.0,0.3819095477386935,0.0,2180.6060606060605,0.12884615384615386,0.5131578947368421,0.0,1.3727272727272726,28.25,4.35,0.0,0.0
50%,78.0,1.0,1.0,45.0,7.0,41.5,0.0,0.0,23.5,3.0500000000000003,2.7,0.0,130.0,70.0,82.0,178.33333333333337,0.0,0.8790465631929046,58.0,0.4558823529411765,0.0,4850.623885918004,0.1575757575757576,0.7162162162162162,0.0,1.7630769230769232,38.0,7.2,0.0,0.0
75%,82.0,1.0,1.0,55.0,15.0,51.0,0.0,0.0,25.25,4.675000000000001,2.8499999999999996,0.0,149.0,81.0,97.0,200.33333333333331,0.0,1.016019955654102,74.0,0.5227272727272727,0.0,7780.392156862745,0.2863636363636364,0.9791666666666666,0.0,2.417832167832168,49.75,15.875,0.0,0.0
max,93.0,1.0,1.0,85.0,75.0,78.0,0.0,0.0,26.0,5.5,2.9,0.0,225.0,138.0,181.0,290.3333333333333,0.0,1.2860310421286032,150.0,1.0,0.0,22088.888888888887,0.6,6.5,0.0,3.6666666666666665,63.0,27.5,0.0,1.0
count,2085.0,2085.0,2085.0,1012.0,6.0,6.0,2085.0,2085.0,8.0,6.0,6.0,2085.0,1148.0,1147.0,1970.0,1147.0,2085.0,6.0,1147.0,1137.0,2085.0,6.0,6.0,1139.0,2085.0,8.0,8.0,6.0,2085.0,2085.0
mean,75.6599520383693,1.0,1.9851318944844125,37.45355731225296,4.0,28.333333333333332,0.0,0.0,9.25,4.94,2.5399999999999996,0.0,135.51742160278746,75.11159546643418,84.93553299492386,185.64893926184246,0.0,1.0377161862527717,60.46294681778553,0.4339733529829257,0.0,3091.575246132208,0.020833333333333332,0.7726299832681249,0.0,11.178645833333334,53.5,8.87820512820513,1.0,0.0671462829736211
std,6.325765564617829,0.0,0.12105400979098703,17.60223260482201,7.0992957397195395,11.32548748031036,0.0,0.0,6.734771180756096,1.092080583107309,0.34269519984966224,0.0,35.23465554921943,19.788491459018406,21.112227780457307,45.48824368710167,0.0,0.21726958754678574,25.414730568660822,0.12857335622730157,0.0,1034.2433821100776,0.8297841084683815,0.5767039717933695,0.0,10.205097017977309,36.7267905330311,33.44790541612193,0.0,0.2503352075018931
min,62.0,1.0,1.0,5.0,-2.0,17.0,0.0,0.0,2.0,4.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8008869179600887,-57.0,-1.2058823529411764,0.0,1696.2025316455695,-1.0,-1.0178571428571428,0.0,0.0,-15.0,-27.0,1.0,0.0
25%,71.0,1.0,2.0,20.0,-1.25,19.25,0.0,0.0,3.5,4.125,2.2550000000000003,0.0,114.0,63.0,71.0,158.16666666666669,0.0,0.874689578713969,44.0,0.3728813559322034,0.0,2354.9367088607596,-0.6875,0.48946317657497784,0.0,4.341666666666667,35.0,-17.740384615384617,1.0,0.0
50%,75.0,1.0,2.0,40.0,1.0,26.0,0.0,0.0,9.5,4.5,2.72,0.0,135.0,74.0,82.0,184.66666666666663,0.0,0.9890909090909092,59.0,0.4428571428571429,0.0,3173.333333333333,0.25,0.7142857142857143,0.0,7.15625,59.0,5.884615384615385,1.0,0.0
75%,80.0,1.0,2.0,55.0,10.0,38.0,0.0,0.0,15.25,5.865,2.78,0.0,153.0,86.0,97.0,209.49999999999997,0.0,1.2243458980044346,75.0,0.5117647058823529,0.0,3921.6666666666665,0.671875,0.9470175438596492,0.0,17.0625,80.25,29.307692307692307,1.0,0.0
max,91.0,1.0,2.0,76.0,13.0,42.0,0.0,0.0,16.0,6.32,2.8,0.0,258.0,170.0,177.0,340.6666666666667,0.0,1.3079083518107906,200.0,0.8333333333333334,0.0,4253.333333333333,0.8125,14.5,0.0,27.0,92.0,57.0,1.0,1.0
count,1751.0,1751.0,1751.0,906.0,10.0,10.0,1751.0,1751.0,10.0,10.0,10.0,1751.0,1751.0,1750.0,1744.0,1750.0,1751.0,10.0,1750.0,1750.0,1751.0,10.0,10.0,1743.0,1751.0,10.0,10.0,10.0,1751.0,1751.0
mean,75.84523129640206,2.0,2.0,46.92935982339956,19.6,42.6,0.0,0.0,17.6,5.093999999999999,2.508,0.0,146.77327241576242,75.79885714285714,86.07224770642202,197.2582857142857,0.0,1.0497516629711752,70.92685714285714,0.47706645136320497,0.0,3044.1145666243706,0.6957142857142856,inf,0.0,18.564285714285717,53.0,-9.954374999999999,2.0,0.05025699600228441
std,6.272254444607614,0.0,0.0,17.617842507450945,24.272526764957032,29.8336126616346,0.0,0.0,13.508844839174403,1.642810599754782,0.7985097230327116,0.0,32.94958043651419,20.268314501591902,21.643660014235426,42.93617332261043,0.0,0.3608276364191816,25.004683811830308,0.10927252542480284,0.0,1454.7442225619186,1.129238076942471,,0.0,29.830399784829424,16.97056274847714,34.46592195818167,0.0,0.2185371944175296
min,61.0,2.0,2.0,5.0,-1.0,3.0,0.0,0.0,1.0,3.0,1.5,0.0,55.0,0.0,0.0,68.0,0.0,0.5521064301552107,-20.0,-0.13245033112582782,0.0,1115.8974358974358,-1.0,-0.3076923076923077,0.0,1.7666666666666666,28.0,-82.0,2.0,0.0
25%,71.0,2.0,2.0,32.75,5.0,21.0,0.0,0.0,10.0,3.5,1.8,0.0,124.0,62.0,71.0,169.33333333333334,0.0,0.7129157427937916,54.0,0.4098360655737705,0.0,2164.9704326174915,0.4166666666666667,0.6,0.0,2.0285714285714285,38.5,0.828125,2.0,0.0
50%,76.0,2.0,2.0,51.0,15.0,47.0,0.0,0.0,12.0,5.67,2.64,0.0,145.0,74.0,84.0,195.66666666666663,0.0,1.1006356245380635,70.0,0.4868421052631579,0.0,2800.300861085175,0.42857142857142855,0.8235294117647058,0.0,5.333333333333334,57.0,4.800000000000001,2.0,0.0
75%,80.0,2.0,2.0,60.0,15.0,58.0,0.0,0.0,30.0,6.5,3.1,0.0,167.0,87.0,98.0,222.0,0.0,1.3052032520325203,87.0,0.55,0.0,4160.952380952381,1.5,1.1074175824175825,0.0,9.675,62.0,6.583333333333332,2.0,0.0
max,92.0,2.0,2.0,85.0,64.0,84.0,0.0,0.0,35.0,6.8,3.5,0.0,290.0,178.0,183.0,395.33333333333326,0.0,1.6359201773835919,172.0,1.0,0.0,5208.88888888889,2.1333333333333333,inf,0.0,82.0,78.0,15.4,2.0,1.0
count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,6773.0,6773.0,6773.0,3084.0,8.0,8.0,6773.0,6773.0,8.0,4.0,4.0,6773.0,2593.0,2556.0,6264.0,2556.0,6773.0,4.0,2556.0,2546.0,6773.0,4.0,8.0,2520.0,6773.0,8.0,8.0,8.0,6773.0,6773.0
mean,78.29455189723903,2.0,1.2281116196663222,49.49610894941634,19.5,67.75,0.0,0.0,22.25,2.7,1.7,0.0,138.06170458927883,71.70031298904539,86.65134099616859,185.90427751695356,0.0,0.5582409460458241,66.40375586854461,0.47305198589078046,0.0,3609.931034482759,0.9402854963495695,0.8355049610360044,0.0,2.7855807998256514,37.5,3.6991666666666667,4.0,0.05226635169053595
std,6.212868066908044,0.0,0.4196459332995369,15.398069238244702,9.149551120917666,27.3848237428794,0.0,0.0,8.924284685220275,0.23094010767585024,0.23094010767585024,0.0,31.409384454577847,19.010311752711146,22.811652108869144,40.63881566325951,0.0,0.07553613554226382,24.49644188343678,0.11300792192529172,0.0,531.7902051575348,0.46785832032656155,0.4301118995776864,0.0,2.2692446385247034,22.051886864522825,3.6462757690727376,0.0,0.22258008623322223
min,61.0,2.0,1.0,8.0,8.0,42.0,0.0,0.0,12.0,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4767184035476719,-18.0,-0.3103448275862069,0.0,2979.3103448275865,0.42857142857142855,-0.225,0.0,0.8571428571428571,-5.0,0.9333333333333332,4.0,0.0
25%,74.0,2.0,1.0,40.0,13.25,51.75,0.0,0.0,17.25,2.5,1.5,0.0,118.0,59.0,71.0,160.0,0.0,0.5116407982261642,50.0,0.4,0.0,3324.137931034483,0.6071428571428571,0.5401281660054928,0.0,1.3624060150375938,29.25,1.775,4.0,0.0
50%,79.0,2.0,1.0,55.0,20.0,59.5,0.0,0.0,21.0,2.7,1.7,0.0,137.0,70.0,84.0,184.66666666666663,0.0,0.5523281596452327,64.0,0.47867794144389886,0.0,3612.8735632183907,0.8768115942028984,0.7654320987654321,0.0,1.9553775743707096,43.0,2.08,4.0,0.0
75%,83.0,2.0,1.0,60.0,26.25,75.5,0.0,0.0,26.0,2.9,1.9,0.0,156.0,83.0,99.0,208.66666666666663,0.0,0.5989283074648928,82.0,0.5509464655427387,0.0,3898.666666666667,1.209954233409611,1.0487804878048779,0.0,3.1983695652173916,51.75,3.95625,4.0,0.0
max,93.0,2.0,2.0,95.0,30.0,110.0,0.0,0.0,35.0,2.9,1.9,0.0,254.0,175.0,209.0,355.33333333333326,0.0,0.6515890613451588,160.0,1.0,0.0,4234.666666666667,1.5789473684210529,5.096774193548387,0.0,6.916666666666668,63.0,10.375,4.0,1.0
