,Age,Gender,Race,EjF,RAP,PAS,PAD,PAMN,PCWP,CO,CI,MIXED,BPSYS,BPDIAS,HRTRT,MAP,MPAP,CPI,PP,PPP,PAPP,SVR,RAT,PPRatio,PAPi,SAPi,CPP,PRAPRat,cluster,Death
count,18.0,18.0,18.0,12.0,18.0,18.0,18.0,18.0,18.0,18.0,16.0,18.0,16.0,16.0,16.0,16.0,18.0,14.0,16.0,16.0,18.0,16.0,18.0,16.0,18.0,16.0,16.0,16.0,18.0,18.0
mean,71.55555555555556,1.8888888888888888,0.0,44.833333333333336,19.77777777777778,56.333333333333336,0.0,0.0,24.333333333333332,4.413333333333334,2.3050000000000006,0.0,128.5625,68.0,87.0,173.89583333333334,0.0,0.8419987329743427,60.5625,0.4691722701301453,0.0,2976.004776098288,0.8124041853208518,0.7524213810848376,0.0,3.1329013723544974,43.125,4.396100219979296,0.0,0.0
std,5.447311503336218,0.3233808333817773,0.0,16.573984725978534,12.326707282088783,21.616986784634413,0.0,0.0,9.267273220380225,0.9557134692438513,0.3873671815388254,0.0,21.64245442026697,15.366630513334188,24.456764572063356,28.812219308506606,0.0,0.21646088921939083,17.869783621148486,0.1067796153634946,0.0,598.7865233897542,0.38625754400948054,0.33718154171901527,0.0,2.356086860907587,17.34310621928302,3.0851250815381777,0.0,0.0
min,62.0,1.0,0.0,25.0,6.0,25.0,0.0,0.0,8.0,3.2,1.7,0.0,93.0,37.0,54.0,120.33333333333331,0.0,0.5618625277161863,31.0,0.25806451612903225,0.0,1651.7799352750806,0.42857142857142855,0.2831858407079646,0.0,0.96875,21.0,1.2857142857142858,0.0,0.0
25%,70.0,2.0,0.0,25.0,14.0,47.0,0.0,0.0,20.0,3.5,2.1,0.0,113.75,60.75,69.0,157.75,0.0,0.7144124168514413,50.0,0.4178188396433648,0.0,2721.2575127138234,0.625,0.5174019607843138,0.0,1.8674107142857141,28.75,1.7522321428571428,0.0,0.0
50%,70.0,2.0,0.0,47.5,17.0,56.0,0.0,0.0,27.0,4.4,2.1500000000000004,0.0,127.0,67.5,86.5,177.83333333333331,0.0,0.8435698447893569,62.0,0.5051150895140665,0.0,2994.5967612634277,0.71875,0.6768465909090908,0.0,2.4593406593406595,42.5,3.5527950310559,0.0,0.0
75%,72.0,2.0,0.0,60.0,23.0,69.0,0.0,0.0,32.0,5.15,2.6550000000000002,0.0,142.0,77.5,100.25,187.83333333333331,0.0,0.9365853658536587,72.0,0.5376306921282296,0.0,3197.103658536585,0.875,0.9008838383838385,0.0,3.266666666666667,52.5,5.433333333333334,0.0,0.0
max,83.0,2.0,0.0,64.0,48.0,90.0,0.0,0.0,35.0,5.9,2.9,0.0,170.0,92.0,128.0,226.0,0.0,1.3229268292682927,87.0,0.6145833333333334,0.0,4099.047619047619,1.7777777777777777,1.6111111111111112,0.0,9.75,79.0,11.142857142857142,0.0,0.0
count,14.0,14.0,14.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
mean,67.57142857142857,1.0,0.0,30.666666666666668,4.571428571428571,38.57142857142857,0.0,0.0,14.0,5.171428571428571,2.61,0.0,147.28571428571428,76.14285714285714,82.14285714285714,198.04761904761904,0.0,1.1557802766339351,71.14285714285714,0.47019198978239096,0.0,3180.231888606026,0.38161375661375657,0.9478727046818617,0.0,8.641865079365079,62.142857142857146,9.830612244897964,1.0,0.0
